group,TD-DOA,keyword
Legal,778,RTW
Legal,707,MAB
Legal,903,MAB-2nd
Legal,1226,RTW
Legal,1653,DS - Succeed
Legal,68,file screening
Legal,140,RTW
Legal,367,RTW
Legal,27,file screening
Legal,35,file screening
Legal,101,file screening
Legal,101,HLM
Legal,118,MAB
Legal,154,RTW
Legal,406,RTW
Legal,431,RTW
Legal,462,RTW
Legal,490,RTW
Legal,522,RTW
Legal,536,RTW
Legal,1362,DS - Succeed
Legal,1572,DS - Succeed
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,776,DS
Legal,101,file screening
Legal,113,MAB
Legal,1189,HLM
Legal,83,file screening
Legal,226,MAB
Legal,226,MAB
Legal,859,RTW
Legal,73,file screening
Legal,117,MAB
Legal,124,file screening
Legal,182,RTW
Normal,48,file screening
Normal,48,file screening
Normal,57,file screening
Normal,323,MAB
Normal,442,MAB-2nd
Legal,218,RTW
Legal,331,MAB
Legal,304,RTW
Legal,331,MAB
Legal,331,MAB
Normal,65,file screening
Normal,101,file screening
Normal,103,file screening
Normal,160,HLM
Normal,429,MAB
Normal,429,MAB
Legal,13,file screening
Legal,538,DS
Legal,102,file screening
Legal,358,RTW
Legal,315,MAB
Legal,384,RTW
Legal,462,MAB
Legal,403,RTW
Legal,433,RTW
Legal,463,RTW
Legal,462,MAB
Legal,489,RTW
Legal,543,RTW
Legal,630,MAB-2nd
Legal,25,file screening
Legal,396,Legal
Legal,412,MAB
Legal,465,MAB-2nd
Legal,675,Legal
Legal,1206,Legal
Legal,1206,Legal
Legal,1206,RTW
Legal,1206,Legal
Legal,1206,RTW
Legal,1389,Legal
Legal,1480,Legal
Legal,1574,DS - Succeed
Legal,108,file screening
Legal,141,HLM
Legal,257,MAB
Legal,288,RTW
Legal,344,DS
Legal,13,file screening
Legal,34,file screening
Legal,132,MAB
Legal,111,RTW
Legal,125,RTW
Legal,411,MAB-2nd
Legal,55,file screening
Legal,71,file screening
Legal,133,DS
Legal,208,RTW
Legal,317,MAB
Legal,422,MAB-2nd
Legal,455,DS
Legal,476,DS - Succeed
Legal,1107,RTW
Legal,1388,DS - Succeed
Legal,87,file screening
Legal,269,RTW
Legal,454,MAB
Legal,169,MAB
Legal,76,MAB
Legal,84,RTW
Legal,169,MAB
Legal,169,MAB
Legal,100,RTW
Legal,169,MAB
Legal,141,RTW
Legal,169,MAB
Legal,175,RTW
Legal,288,MAB-2nd
Legal,236,RTW
Legal,278,DS
Legal,114,file screening
Legal,403,MAB
Legal,585,MAB-2nd
Legal,1305,DS - Succeed
Legal,44,file screening
Legal,59,file screening
Legal,67,file screening
Legal,347,DS
Legal,84,file screening
Legal,84,RTW
Legal,98,HLM
Legal,10,file screening
Legal,21,RTW
Legal,21,file screening
Legal,91,RTW
Legal,237,MAB
Legal,335,MAB-2nd
Legal,75,file screening
Legal,1345,RTW
Legal,13,file screening
Legal,29,RTW
Legal,135,MAB
Legal,1386,DS - Succeed
Legal,1494,DS - Succeed
Legal,19,file screening
Legal,45,RTW
Legal,45,file screening
Legal,48,RTW
Legal,143,RTW
Legal,159,RTW
Legal,259,RTW
Legal,383,MAB
Legal,412,DS
Legal,455,DS
Legal,18,file screening
Legal,67,file screening
Legal,126,HLM
Legal,259,MAB
Legal,24,file screening
Legal,21,RTW
Legal,21,RTW
Legal,194,MAB
Legal,115,RTW
Legal,228,MAB
Legal,177,RTW
Legal,63,RTW
Legal,63,file screening
Legal,101,RTW
Legal,115,RTW
Legal,240,RTW
Legal,374,DS
Legal,374,RTW
Legal,439,MAB
Legal,374,DS
Legal,374,RTW
Legal,439,MAB
Legal,406,DS
Legal,406,DS
Legal,406,DS
Legal,449,DS
Legal,61,file screening
Legal,539,MAB
Legal,539,MAB
Legal,665,MAB-2nd
Legal,1217,DS - Succeed
Legal,25,file screening
Legal,151,file screening
Legal,242,file screening
Legal,242,HLM
Legal,26,file screening
Legal,26,file screening
Legal,28,file screening
Legal,863,RTW
Legal,20,file screening
Legal,53,file screening
Legal,293,DS
Legal,62,file screening
Legal,116,RTW
Legal,1049,DS - Succeed
Legal,272,MAB
Legal,321,DS
Legal,112,file screening
Legal,128,MAB
Legal,387,MAB-2nd
Legal,98,RTW
Legal,163,MAB
Legal,581,MAB-2nd
Legal,449,RTW
Legal,896,DS
Legal,140,file screening
Legal,141,RTW
Legal,352,HLM
Legal,123,file screening
Legal,498,DS
Legal,0,MAB
Legal,498,DS - Succeed
Legal,498,RTW
Legal,1056,RTW
Legal,24,file screening
Legal,127,MAB
Legal,79,RTW
Legal,76,RTW
Legal,136,RTW
Legal,168,RTW
Legal,877,MAB-2nd
Normal,18,file screening
Normal,543,MAB
Normal,72,HLM
Normal,72,file screening
Normal,73,RTW
Normal,172,RTW
Normal,553,RTW
Normal,648,MAB
Normal,562,RTW
