tconst,startYear,title,Country of Origin,HK?,language,runtimeMinutes,genres,averageRating,numVotes
tt0188794,1979,Feng zi qi zhao,Hong Kong,1,cmn,92,"Action,Comedy",5.8,80
tt0949885,1979,Ma feng guai quan,Hong Kong,1,cmn,92,"Action,Comedy",5.5,84
tt0075447,1979,Young Dragon,Hong Kong,1,\N,91,"Action,Drama",8.4,18
tt0079048,1979,Cops and Robbers,Hong Kong,1,en,91,"Crime,Drama",6.7,140
tt0079591,1979,Murder Plot,Hong Kong,1,en,91,"Action,Drama",6.5,58
tt0079857,1979,The Scandalous Warlord,Hong Kong,1,en,91,"Comedy,Romance",6.6,57
tt0080742,1979,Jeet Kune the Claws and the Supreme Kung Fu,Hong Kong,1,en,91,"Action,Drama",5.2,166
tt0165188,1979,Crack Shadow Boxers,Hong Kong,1,en,91,"Action,Comedy",5.8,48
tt0187141,1979,Yi dai ying hao,Hong Kong/Taiwan,1,cmn,91,"Action,Adventure",3.5,30
tt0188786,1979,Tin choi gung foo,Hong Kong,1,yue,91,"Action,Comedy",6.1,100
tt0078877,1979,Blooded Treasury Fight,Hong Kong,1,en,90,"Action,Drama",6.4,56
tt0079142,1979,Avenging Boxer,Taiwan/Hong Kong,1,en,90,"Action,Comedy",6.1,145
tt0079478,1979,Liu he qian shou,Hong Kong,1,\N,90,"Action,Drama",6,163
tt0079653,1979,奇門怪拳,Taiwan/Hong Kong,1,cmn,90,"Action,Drama",5.6,141
tt0081652,1979,Treasure of Bruce Le,Hong Kong/Philippines,1,en,90,"Action,Drama",6.1,58
tt0122029,1979,The Crippled Master,Taiwan/Hong Kong,1,en,90,"Action,Drama",5.7,1003
tt0165750,1979,The 13 Styles Strike,Taiwan/Hong Kong,1,en,90,"Action,Drama",6.2,13
tt0187083,1979,Shaolin Tough Kid,Hong Kong,1,en,90,"Action,Comedy",5.9,67
tt0199813,1979,Shuang ma fa wai,Taiwan/Hong Kong,1,cmn,90,"Action,Drama",6.7,697
tt0201090,1979,Red Clothes Lama,Taiwan/Hong Kong,1,cmn,90,"Action,Drama",5.1,65
tt0201366,1979,The Story of Drunken Master,Hong Kong,1,en,90,"Action,Comedy",4.8,138
tt0076035,1979,The Flash Legs,Hong Kong,1,en,89,Action,5.4,170
tt0077747,1979,Ruthless Revenge,Hong Kong,1,en,89,"Action,Comedy",4.9,22
tt0078825,1979,The Eagle's Killer,Hong Kong,1,en,89,"Action,Comedy",6.1,65
tt0079435,1979,Lo see lai gwai,Hong Kong,1,yue,89,"Action,Comedy",5.8,120
tt0080156,1979,The Kung Fu Master,Hong Kong,1,en,89,"Action,Comedy",6.5,244
tt0081500,1979,See foo chut ma,Hong Kong,1,yue,89,"Action,Adventure,Comedy",5.1,102
tt0159559,1979,Chuet chiu luk sik,Hong Kong,1,yue,89,Action,5.6,36
tt0164442,1979,The Bone Crushing Kid,Hong Kong/Taiwan,1,en,89,Action,5.9,37
tt0165123,1979,Bruce Tuan's Seven Promises,Hong Kong/Taiwan,1,en,89,Action,4.5,18
tt0165189,1979,Sam dau hok kwan yam,Hong Kong/Taiwan,1,yue,89,"Action,Adventure,Comedy",6.4,103
tt0165554,1979,Butcher Wing,Hong Kong,1,en,89,"Action,Comedy",6.5,28
tt0198777,1979,Miu ji cham sau lei ji,Taiwan/Hong Kong,1,yue,89,Action,6.9,11
tt0075327,1979,Iron Fists,Hong Kong/Taiwan,1,en,88,"Action,Drama",6.8,53
tt0078262,1979,Sleeping Fist,Hong Kong/Taiwan,1,en,88,Action,6.1,192
tt0078911,1979,Bruce the Super Hero,Hong Kong/Philippines,1,\N,88,"Action,Drama",5.6,116
tt0079051,1979,Die bian,Hong Kong,1,cmn,88,"Action,Horror,Mystery",6.4,855
tt0080148,1979,Chow sin sap bat dip,Hong Kong,1,yue,88,"Action,Comedy,Drama",5.7,334
tt0080315,1979,Two Wondrous Tigers,Hong Kong,1,en,88,"Action,Adventure",6.3,53
tt0081630,1979,Deadly Challenger,Hong Kong,1,en,88,"Action,Comedy",5.9,128
tt0164480,1979,Cha ren da lao bo ming zai,Hong Kong,1,cmn,88,"Action,Drama",6.7,40
tt0187019,1979,Sei dai bai kuen,Hong Kong,1,yue,88,"Action,Drama",5.8,46
tt1948220,1979,Choi Lee Fat Kung Fu,Hong Kong,1,en,88,"Action,Adventure,Comedy",4.7,33
tt0078394,1979,Magnificent Fist,Hong Kong/South Korea,1,en,87,"Action,Drama",4.4,85
tt0079903,1979,My 12 Kung Fu Kicks,Hong Kong,1,en,87,"Action,Drama",5.8,87
tt0164464,1979,Bravado of a Lady Fight,South Korea/Hong Kong/Taiwan,1,en,87,"Action,Drama",4.9,49
tt0186104,1979,Kid's Ace in the Hole,Hong Kong/Taiwan,1,en,87,Action,6.3,99
tt0188797,1979,Chat biu mai chung,Taiwan/Hong Kong,1,yue,87,"Action,Drama",6,227
tt2174003,1979,Tai Chi Shadow Boxing,Hong Kong/Taiwan,1,en,87,"Action,Comedy",6.1,40
tt0074246,1979,Dai gau tau yue siu leung ji,Hong Kong/Taiwan,1,yue,86,"Action,Crime",6,102
tt0079110,1979,The Lama Avenger,Hong Kong,1,en,86,"Action,Drama",6.5,104
tt0079372,1979,The Kid with the Golden Arm,Hong Kong,1,en,86,"Action,Drama",7,1746
tt0082482,1979,廣東鐵橋三,Hong Kong,1,yue,86,"Action,Adventure",5.6,702
tt0084598,1979,Jue zhan yin hu,South Korea/Hong Kong,1,cmn,86,"Action,Adventure",6.2,63
tt1511381,1979,The Secret Shaolin Kung Fu,Taiwan/Hong Kong,1,en,86,"Action,Adventure",5.6,48
tt0079146,1979,The Secret,Hong Kong,1,en,85,"Drama,Horror,Mystery",6.6,276
tt0079155,1979,"He quan - Wang Yin Lin, Guang Dong shi hu zi yi",Hong Kong,1,cmn,85,"Action,Adventure",5.8,48
tt0079483,1979,The Dragon and Tiger Kids,Hong Kong,1,en,85,Action,6.6,183
tt0079881,1979,Qiang nei qiang wai,Hong Kong,1,cmn,85,"Crime,Drama,Thriller",2.6,213
tt0079370,1979,Kei chiu,Hong Kong,1,yue,84,"Action,Drama",6.4,212
tt0079883,1979,Seven Commandments of Kung Fu,Taiwan/Hong Kong,1,en,84,Action,6,118
tt0079892,1979,Abbot of Shaolin,Hong Kong,1,en,84,"Action,Adventure",6.5,313
tt0088914,1979,Lewd Lizard,Hong Kong,1,en,84,"Drama,Horror",6.2,43
tt3141904,1979,Iron Fist Eagle Claw,Taiwan/Hong Kong,1,en,84,"Action,Adventure,Comedy",5.6,47
tt0187036,1979,Fury in the Shaolin Temple,South Korea/Hong Kong,1,en,83,"Action,Drama",5.8,116
tt0470963,1979,Xing gui,Hong Kong,1,\N,83,"Crime,Drama",7.7,25
tt0079043,1979,The Magnificent Ruffians,Hong Kong,1,en,82,"Action,Drama",6.6,444
tt0079167,1979,Siu lau chan mung,Hong Kong,1,yue,81,"Drama,Romance",6.3,17
tt2217839,1979,"The Dragon, the Hero",Taiwan/Hong Kong,1,en,80,Action,6.2,91
tt2226383,1979,Drunken Arts and Crippled Fist,Hong Kong,1,en,80,"Action,Comedy",6,100
